,Unnamed: 0.1,Unnamed: 0,Text,socialMediaAbuse,twitterHateSpeech,tweets_reese_socialMediaAbuse,tweets_reese_twitterHateSpeech
21,21,21,"Check out an all new episode of the Bamgboshe Happy Hour streaming tonight Wednesday April 5th at 7pm CT!

https://t.co/QkSXBNjVQq

#firstlady #NCAAChampionship #AngelReese #CaitlinClark #IndictmentDay #podcast https://t.co/I5rvM2siJK","[6325, 2594, 2068, 6429, 2852]","[9348, 18225, 15163, 3490, 4273]",0,2
22,22,22,"I have very unprintable feelings on this story after reading it. 
-
LSU's Angel Reese rejects Jill Biden's White House invite explanation: 'I don't accept that' - USA TODAY https://t.co/kyu3EqjqYL","[3976, 3476, 2778, 4519, 5172]","[4876, 19895, 19493, 11996, 9571]",0,2
23,23,23,"I'm sorry but #AngelReese is hot.  NGL.
I said what I SED.","[951, 6076, 7651, 3730, 8426]","[7768, 14191, 15313, 19522, 14125]",1,2
24,24,24,"@downs_dick @seahawksfan2314 @Reese10Angel It actually means no one gives a fucc about women basketball unless they are as cold as Caitlin Clark!  Angel Reese is a great player, I’m sure she will be a social justice warrior as well, all I’m saying is I knew nothing about any of these females until Caitlin Clark 🔥💯","[4643, 5865, 6426, 4626, 392]","[2484, 14832, 1844, 19899, 18581]",0,1
26,26,26,Ja Morant and LSU Champion Angel Reese link up and do the griddy together😭🔥🏀 https://t.co/StQKtoZ5ut,"[4068, 5357, 3302, 3603, 4843]","[14892, 19772, 14463, 16744, 18154]",1,2
27,27,27,@memgrizz Ja just got back with the team after spending the day with Angel Reese I see…,"[6777, 417, 2026, 3730, 5826]","[14463, 22506, 8216, 3866, 78]",1,2
28,28,28,I don’t understand why Angel Reese is getting so much negative media attention! Stop that shit.,"[7651, 8250, 6335, 6408, 951]","[7768, 13644, 17729, 8010, 1771]",1,2
29,29,29,So NOW the #hoodrat @awebbreese thinks she is going to the #obamas😂. Look #jillbiden meant no harm she is just wants everyone to get along.  But you #AngelReese think you are above people making mistakes. ENJOY YOUR 15 MIN OF FAME WITCH @LSU @#LSULadyTigers  stay yo az home👋🏽🖕🏽,"[2852, 3976, 5417, 417, 6190]","[15452, 18281, 20014, 15548, 1381]",0,0
30,30,30,@SportsCenter Jill Biden hates Angel Reese!,"[1748, 6777, 4381, 5826, 2665]","[3866, 10485, 9683, 6370, 4876]",0,0
31,31,31,"Am I wrong? I cannot imagine @FLOTUS making a statement that hurt anyone.
It's a shame that Angel Reese needs to invent a reason to feel slighted.
Angel Reese says LSU won't go to the White House due to double standard, would visit Obamas https://t.co/zupGllbkvY via @Yahoo","[6190, 5527, 4463, 2778, 3144]","[17778, 8433, 12296, 18863, 6836]",1,2
33,33,33,Mfs said Angel Reese rejecting Jill Biden’s apology &amp; invitation gonna backfire… How exactly? lmao yall way too scared of these old ass white people,"[4848, 5182, 8475, 7927, 8124]","[3671, 13644, 1771, 4074, 14139]",1,2
34,34,34,@AshNicoleMoss Sure it was….it was that thug Angel Reese’s decision and she’s not just a thug but a RACIST one too,"[854, 2717, 4209, 6777, 6454]","[13644, 19176, 20264, 792, 5949]",0,0
35,35,35,They should thank Angel Reese for bringing some attention to women’s basketball,"[4643, 5865, 754, 5826, 3482]","[3892, 20153, 12033, 2484, 8672]",1,2
36,36,36,The Obamas welcoming Angel Reese https://t.co/5AvWzpepzq,"[754, 2790, 3249, 951, 3730]","[8433, 14804, 9812, 19817, 20403]",1,2
37,37,37,Angel Reese says her team won't go to the White House but would celebrate with the Obamas | CNN https://t.co/6zoerWHPpe,"[3976, 754, 2201, 6777, 2979]","[7940, 20704, 16817, 22926, 20459]",1,2
38,38,38,"i’m so mf tired of seeing and hearing about Angel reese ass. like damn let that shit die, put womens basketball back where it was, in the garbage. PLEASE.","[1060, 4808, 6991, 4684, 951]","[24465, 15540, 20153, 2411, 8216]",0,0
39,39,39,Angel Reese is a racist!  That simple !  Go see your @BarackObama and @MichelleObama !  They created the race war and you continue to buy into it.  The country is in shambles and they started it and you think they cared about you.  Lol @SHAQ defends the BS too,"[7581, 6976, 854, 2817, 2778]","[9800, 4628, 6247, 20459, 19750]",0,0
40,40,40,"@pie_scandal Nice, but no. You get one more guess, then I'll dm you. Wanna keep the magic alive for others to guess https://t.co/cpleIQ2RAa","[2178, 4405, 3794, 2202, 1090]","[15128, 14341, 4091, 6072, 2529]",0,2
41,41,41,Angel Reese is embarrassing herself at this point. #AngelReese,"[3730, 951, 5826, 7651, 6076]","[7768, 13644, 14125, 10485, 757]",0,1
42,42,42,@MaadyBK67 Angel 1.8 GPA Reese,"[5826, 6105, 3922, 174, 6777]","[2664, 4987, 5699, 7141, 5925]",0,1
43,43,43,@arthurvrp_ discordo!,"[2517, 3971, 2856, 2809, 3714]","[3543, 5899, 4089, 3045, 3665]",0,2
44,44,44,Angel Reese says LSU will not visit White House after Jill Biden comments https://t.co/O8PRXaOaTf via @Yahoo,"[3976, 6190, 2030, 2839, 8475]","[16390, 4393, 4876, 6836, 12296]",0,2
45,45,45,@JohnCena should referee the @WWE match between Caitlyn Clark and Angel Reese and both the women should get all the proceeds from the match #NIL,"[5537, 6777, 2026, 4348, 2691]","[3882, 758, 6075, 2629, 16059]",1,2
46,46,46,"LSU’s Angel Reese won’t forgive Jill Biden, go to White House, ‘We’ll go to the Obamas’ https://t.co/SKOYs5gGR0","[6190, 7522, 754, 3476, 2778]","[18863, 4876, 19068, 8433, 20299]",0,0
48,48,48,"@LSU women’s basketball players are a bunch of racists. 

LSU's Angel Reese: Team didn't want Jill Biden coming into locker room before national title game https://t.co/JuzYbk2m1s #FoxNews","[4643, 4626, 5865, 8203, 2026]","[15088, 3892, 19015, 8105, 6499]",0,0
49,49,49,"Taurus season almost here. 😍😍❤️ 
Us Taurus about to be taurusing lol 🤣💀 Angel Reese started a lil EARLY though and I'M HERE FOR IT! 😭🤣🤣🤣❤️🐂♉","[1277, 2146, 8423, 1901, 2979]","[17570, 14421, 18878, 11965, 22975]",1,2
50,50,50,@jnthnwll Has Kim Mulkey made public statements in support of Angel Reese?,"[3976, 1567, 2665, 6076, 1748]","[390, 3285, 278, 3824, 18197]",0,2
51,51,51,"@CNN It’s obvious: two athletes, two different ways of saying, no thank you. Angel Reese needs to learn humility which is obvious she doesn’t know it other than knowing how to be racist. Which is sad. Really is. That was just how she was brought up.","[2817, 754, 4643, 5825, 951]","[13644, 7768, 6972, 15088, 7704]",0,0
52,52,52,‘I Don’t Accept Her Apology’: Angel Reese Suggests Alternate LSU Celebration After Turning Down White House Visit - Sports Illustrated.                   Sounds like a super fun way to live your life.. https://t.co/UhKcgUOCoi,"[6190, 2201, 754, 2852, 6077]","[12296, 7539, 17778, 20533, 3354]",0,1
53,53,53,Angel Reese: LSU wouldn't let Jill Biden into its locker room before championship game https://t.co/jqeOR3zDS7 via @nypost,"[7522, 5865, 3976, 8475, 6777]","[12511, 24175, 3070, 15615, 8672]",0,2
54,54,54,“Angel Reese ass bitch”,"[3730, 5826, 4699, 4188, 951]","[480, 626, 35, 552, 12265]",0,1
55,55,55,"‘I Don’t Accept Her Apology’: Angel Reese Suggests Alternate LSU Celebration After Turning Down White House Visit - Sports Illustrated

 Fair Use: https://t.co/90WVefQ31m","[6190, 754, 5977, 702, 2201]","[7539, 12296, 17778, 20533, 17995]",0,1
57,57,57,"Angel Reese, 13 of your 15 minutes have expired. No one will remember your name in 2.","[4999, 5176, 570, 5826, 4487]","[6864, 1837, 15148, 11412, 2756]",0,0
58,58,58,"Michelle,  Barack,  LSU girls Nat Champs  want a Invite to Martha Vines - stay at your Mansion,  fly them ( team ) on Obama's  Airforce 1 - 747 , a parade in your town of Martha Vines,  kiss the Ring finger of Angel Reese.
give her a Award for being 7th best LSU player, fake Eye","[2201, 754, 4226, 2256, 5537]","[10864, 4084, 17139, 20459, 16768]",0,1
59,59,59,"In this episode of Nitty Gritty Sports Talk, the fellas covered:
🔘Angel Reese and the LSU women winning the 2023 NCAAWB National Championship, more March Madness
🔘The Orioles as the 2023 Season is underway
🔘Lamar Jackson &amp; the Ravens
🔘NBA updates as the playoffs near, &amp; more!","[2852, 3462, 6777, 3922, 5865]","[12657, 12661, 566, 16186, 841]",1,2
61,61,61,Angel Reese rules.,"[5826, 3730, 951, 6076, 6777]","[7768, 12265, 15709, 14125, 9642]",1,2
62,62,62,"Hope miss Angel Reese don't misstep with the very vicious side of the black twitter innanet community, chile.

One minute yall gassing her beef w the First Lady, next moment she's Sha'carri or Chlöe lordt bless it!","[6777, 5537, 754, 905, 8041]","[1396, 23648, 5333, 2009, 17774]",0,2
63,63,63,Angel Reese and Ja Morant linked up 🤣 https://t.co/VgXBCjJvmY,"[1014, 1138, 3384, 2640, 754]","[19745, 8423, 15400, 17979, 14376]",0,2
64,64,64,"@MarkAhrens18 @Frankli45731208 @Reese10Angel Angel Reese had stretches where she averaged 23 points, 16 boards, 2 steals and a block. Clark doesn't compare to those overall numbers. If any WNBA team can get a better than 20 PPG scorer who gets boards, blocks and steals that is CLEARLY the better player. Stop it.","[5865, 2026, 6234, 392, 66]","[20153, 20464, 3958, 12668, 4155]",0,2
65,65,65,@CNN I've never watch a minute of NCAA womens basketball. I'm now a fan of Angel Reese! She's is a game changer on the court and off the court. I've developed nothing but respect for her!,"[2026, 4643, 6234, 5865, 2751]","[10485, 9122, 12033, 14832, 22010]",1,2
66,66,66,@The_Kay_Bees @Beauty4ashes144 @TMZ It’s racist because everyone is clowning Angel Reese but PRAISING Caitlin Clark. For the exact same thing.,"[2665, 7607, 6234, 958, 3222]","[6397, 2720, 4646, 7085, 19176]",0,0
67,67,67,"LSU's Angel Reese Rejects Jill Biden's Apology for White House Invite: 'You Said What You Said' - People. Racism at its finest by Angel Reese, but don’t forget Jill Biden was absolutely wrong with saying invite both teams but did she actually invite both  https://t.co/kUkT0r1G5v","[8475, 4848, 3976, 2778, 2455]","[3354, 4876, 9571, 12296, 17778]",0,0
68,68,68,"LSU Champion Angel Reese Does NOT Accept First Lady Jill Biden’s Apology After She Invited LSU &amp; Iowa, The Losing Team, To The White House https://t.co/sjGOJ7xg4f","[6190, 1168, 6234, 6777, 3976]","[4876, 21376, 11183, 1668, 12296]",0,0
69,69,69,@krizzypowell @IAmSophiaNelson @FLOTUS I’m not sure who “us” is since neither of us speak for our entire community. We’ll just have agree to disagree on this one. I still ride with #lsu &amp; #AngelReese. I just don’t agree w/that decision. It’s not like @FLOTUS did them like #donimus. We got this far by bridge building.,"[7709, 1655, 4843, 6190, 2852]","[16861, 17778, 13788, 15972, 4992]",0,2
72,72,72,Angel Reese prolly beat so many people up lol,"[5826, 951, 8250, 7367, 6777]","[2899, 7768, 23481, 13644, 20699]",1,1
74,74,74,"@HotFreestyle @IAMATHLETEpod If #AngelReese + @KimMulkey + @LSUwbkb think EITHER of the Obamas - @MichelleObama @BarackObama - are gonna support this silly game + somebody's thin-skin + diss 2 of their BFFs ... #ThinkAgain.
Remember MO's fave sayin:  When THEY go LOW ... WE go HIGH.
Angel is aimin' LOW📉.","[7651, 1823, 29, 3922, 6076]","[18422, 18400, 2569, 14535, 17747]",0,0
75,75,75,"Legendary Texas sportswriter John Lopez wrote about what @TheMasters can learn from women's hoops' newest rivalry between Angel Reese and Caitlin Clark. Check it out at my Texas sports site, @GallerySports!

@LopezOnSports
Full Story➡️https://t.co/74Pde7gK55 https://t.co/pyokrYTEGL","[3462, 2026, 2974, 6777, 2312]","[99, 14186, 16363, 15711, 6125]",1,2
76,76,76,"Imagine supporting Trump for how brash and unapologetic he was as the President BUT mad at Angel Reese for being brash and unapologetic as a basketball player 

LMAO","[7918, 3541, 510, 7084, 1748]","[11126, 24465, 16676, 10485, 12262]",0,2
77,77,77,Angel Reese type decent fr lowkey,"[5826, 32, 5027, 2933, 6777]","[10210, 10216, 19632, 15709, 7768]",1,2
78,78,78,Not Angel Reese taller than Ja Morant.,"[1871, 1748, 2369, 5826, 6777]","[3656, 23985, 11704, 16676, 15887]",0,2
79,79,79,@barstoolsports There's a lot of Meghan Markle in Angel Reese.,"[1748, 8086, 3244, 6777, 4381]","[390, 19824, 18833, 19300, 24314]",1,2
81,81,81,@CNN Angel Reese is now my favorite everything!!,"[754, 1014, 3253, 2751, 1748]","[2414, 4075, 6257, 19483, 1572]",1,2
82,82,82,Just like teams have declined going to the White House in the past years. Idk why it’s a big deal if a college team decides to stand up for what they stand for and yes I said TEAM. Doubt Angel Reese had the only say in the decision.,"[6190, 8193, 7577, 2778, 8431]","[20948, 17778, 6652, 6680, 22626]",1,2
83,83,83,"I don't watch basketball but I think that LSU star Angel Reese should not say that she and her team are not going to the White House but would like to be invited to  the home of the Obamas. They can do both. I understand how she feels, but a little bit of humility wouldn't hurt.","[392, 5865, 754, 2852, 3976]","[23689, 20704, 20459, 22926, 11509]",0,2
84,84,84,"@MarkAhrens18 @Frankli45731208 @Reese10Angel Once again, Clark won't translate to the next level as well. Christian Laaetner was in the same draft class as Shaq and Alonzo Mourning as arguably the greatest college player ever at the time. Where is he at? Angel Reese's physical profile translates better to the WNBA.","[5865, 2026, 4164, 828, 5488]","[6174, 20464, 4155, 17400, 17995]",0,2
85,85,85,"LSU’s Angel Reese blasts Jill Biden’s ""apology,"" says ""we’ll go to the Obamas"" https://t.co/ONfTLHTDer https://t.co/M7bG77Mh8C","[4737, 6190, 2852, 3232, 3476]","[8433, 18863, 18221, 15674, 19068]",0,2
86,86,86,"FACTs matter.  
#FeignedHurtFeelings ... by otherwise #ToughChicks ... not-so-much.
@MichelleObama FAMOUSLY said:
When THEY go LOW ... WE go HIGH.
@KimMulkey @LSUwbkb #AngelReese need to GET OVER THEMSELVES ... cuz #TheOBAMAs ain't gonna diss their BFFs - #TheBIDENs.
@BarackObama","[6333, 6971, 6970, 3162, 5468]","[365, 23554, 16634, 14535, 11387]",1,2
87,87,87,@BleacherReport @Reese10Angel That’s a huge bad look on angel reese as much as I love her and I love Ja!!!!! Ja needs help!!! Angel is on top!!!!,"[2026, 2795, 4381, 8512, 2751]","[275, 19618, 5544, 4483, 16299]",0,0
89,89,89,Let Angel Reese enjoy her shine dont nobody wanna hear what you used to do on the court in HS.,"[1748, 6777, 5826, 5865, 417]","[20856, 20744, 11131, 6499, 11183]",0,2
91,91,91,im gonna keep supporting Angel Reese's dumb ass but it is time for me to mute her name,"[6777, 1748, 5826, 2568, 6234]","[13644, 23639, 11183, 7768, 6972]",0,1
92,92,92,"Yb
Rio da Yung OG
Ice Spice 
Drake 
G Herbo my top 5","[1951, 5892, 5211, 4389, 890]","[15493, 20296, 7559, 8156, 8847]",0,2
93,93,93,Someone at @LSU let Angel Reese know who's invitation she's turning down.,"[3922, 2026, 3976, 754, 417]","[7068, 4976, 18635, 6605, 2997]",0,2
94,94,94,"@Reese10Angel This noise is toxic and quite childish. T’was a great game and one had to lose. That’s sports! BTW, who appointed Angel Reese as coach, manager and spokesperson? Who is she to say the team won’t visit the White House?  She’s a great player and the poster child for a sore winner.","[186, 8124, 2665, 812, 6777]","[21581, 9683, 20761, 15836, 10594]",0,0
95,95,95,"@2Strong2Silence We're trying to watch news right now but it's parade time.  At least they put *some* security on Angel Reese. Woman out here *enjoying* her life, though!","[186, 1748, 4862, 6777, 754]","[22493, 1422, 16363, 19824, 10485]",1,2
96,96,96,"Yo to everyone that has or had a prob wit @Reese10Angel FU and to the @WNBA if you where waiting on your moment you have it here don’t fvck this up MAGIC,BIRD made the NBA REESE, CLARK do it wit class and recognize the superstar status of Angel Reese","[5865, 5826, 4164, 812, 1748]","[20153, 9138, 8672, 3958, 2899]",1,2
97,97,97,LSU’s Angel Reese rejects Jill Biden’s White House invite explanation: ‘I don’t accept that’ https://t.co/DBAkFCa0ou,"[3976, 5172, 8475, 2256, 6190]","[15987, 4876, 9571, 12296, 17284]",0,2
98,98,98,@bigcat356 @BarloweKeith Angel Reese wouldn’t have the class to help anyone across the street except her eye lashes and stinky pussy,"[1748, 6454, 6348, 2665, 1205]","[6104, 3867, 2664, 18197, 4976]",0,0
99,99,99,"Robert Littal of @BSO Entertainment Breaks Down:

The TRUTH About Angel Reese-Caitlin Clark.

Streaming Live ✨
https://t.co/Cjn105OFrH ✨","[958, 951, 3730, 3256, 2178]","[17956, 24414, 18916, 8950, 24314]",0,2
100,100,100,@MadMaxMKE They forgot we all only cared for a minute because we were watching greatness in Caitlin Clarke’s run. Nobody cares who Angel Reese is 🤷‍♂️,"[6777, 4958, 5826, 5529, 1748]","[2899, 17081, 6075, 22771, 24052]",0,2
101,101,101,@Deadspin Pretty weird debate. Even the guy arguing Angel Reese is the bigger star didn't believe it.,"[7367, 7651, 6730, 5826, 3256]","[11792, 3633, 10112, 17729, 20070]",0,2
102,102,102,We need new music @icespicee_ the streets starving,"[248, 933, 6344, 3657, 582]","[7375, 17881, 10054, 20134, 13171]",0,2
103,103,103,"Man, you people / the world really don't like black people. Leave Angel Reese alone. We see what you doing. The double standard between same sex different race is crazy. 
#AngelReese #bball #sports #champion","[7581, 6441, 6976, 5826, 4052]","[7699, 13644, 6638, 16103, 19550]",1,2
104,104,104,@CHOWCHILLAKILLA GPM And the milita can’t be touched!,"[4423, 7574, 1107, 4721, 7238]","[18585, 2790, 16816, 5002, 6649]",1,1
105,105,105,@DavidEickholt Seems like the only one upset about this is Angel Reese?,"[951, 7651, 1168, 5826, 3730]","[7768, 8663, 21864, 5469, 22511]",0,2
106,106,106,"Caitlin Clark - You can’t see me taunt (Louisville) / Not worried about em (North Carolina) . 

Angel Reese - taunt the one person taunting multiple teams 🤦🏾‍♂️

Guess what the difference was between being savage and being classless.","[317, 2026, 5436, 7732, 2732]","[22668, 19523, 5650, 9198, 17995]",0,2
107,107,107,I have to be a fan of Angel Reese. Her brother Julian is a gamer. No wonder it runs in the family. 🏀,"[951, 1277, 1748, 13, 1572]","[20603, 10120, 13605, 7768, 13199]",1,2
108,108,108,"@SpicyAABoy @kurosumomo @MuseLuver86 @lacriimas Good, that’s what u get for calling everything racist more people should block you","[910, 6127, 890, 1517, 3828]","[3053, 2493, 7085, 2641, 2494]",0,1
109,109,109,"I’m excited about this Baltimore book event !! I’ll be in convo with D Watkins. I have a feeling this convo is gonna be dope ! 

Come out and show some love and join the fun !! @dwatkinsworld 

To my Bmore folks can y’all try to get Angel Reese in the building?  I ❤️ her lol https://t.co/VpTfYs7wU5","[3922, 4601, 1598, 3138, 1772]","[15025, 11384, 16391, 1924, 8948]",1,2
110,110,110,"Angel Reese has me watching an entire basketball game at this time of the day, cos I really needed to understand this tea front to back","[5826, 607, 812, 1394, 3708]","[8216, 12574, 12033, 12359, 12445]",1,2
111,111,111,"Yep, Angel Reese truly despises disrespect 🤣

@espn @stephenasmith @WhitlockJason 

https://t.co/NES7Clssq4","[5826, 2666, 812, 6132, 4164]","[18950, 23117, 9683, 2683, 22511]",1,2
112,112,112,"Do that. Racist classless clown!
'We'll go to the Obamas': Angel Reese publicly and brutally rejects Jill Biden's apology https://t.co/v80B9cxnMk via @americanwire_","[854, 1423, 4848, 2124, 1621]","[20459, 6355, 3671, 14366, 20704]",0,0
113,113,113,"@IfMarys @MaadyBK67 Exactly. And while Angel Reese is entitled not to accept the apology of Dr. Biden, I do believe it was petty to refuse her to come to the locker room before it happened bc POTUS didn’t pick y’all in his bracket. LSU was the underdog but that’s what makes their victory great.","[7522, 5527, 5865, 8431, 7258]","[17778, 8393, 3070, 6174, 12296]",1,2
114,114,114,LSU’s Angel Reese Rejects Jill Biden’s Apology: ‘We’ll Go to the Obamas’ https://t.co/xEyaDHRkSf,"[6190, 754, 2930, 959, 3476]","[18863, 4876, 8433, 15331, 18221]",0,1
115,115,115,@pie_scandal Way too high! https://t.co/KhksIXdZty,"[6269, 7669, 1957, 1567, 6745]","[2726, 6212, 4272, 1808, 4681]",0,2
116,116,116,‘F*ck You’: Jemele Hill Blasts Dave Portnoy for Calling Angel Reese ‘Classless’ https://t.co/Zh7BVMp41z,"[5826, 8256, 6951, 4713, 5186]","[24721, 8661, 8684, 9726, 13273]",0,0
117,117,117,"Angel Reese is trash. Let her and that whole squad go with the Obama's. Dirty Hoodrats with emotional problems are the Obama's specialty. Because you know, the Obama's did so much for Black people in this country. She is dumb as rocks and the Biden's are trash also.","[3476, 754, 392, 6234, 7272]","[12951, 4876, 20704, 20459, 10485]",0,0
118,118,118,@stoolpresidente @SHAQ What’d your mom say about your racism towards Angel Reese? Post that thread.,"[661, 854, 2665, 6579, 1748]","[19176, 19045, 16085, 2720, 19685]",0,0
119,119,119,@ta1lwind Quite a lot less than that https://t.co/vkfOVbjSRE,"[5241, 8264, 6512, 5159, 5807]","[17229, 19317, 341, 5972, 14616]",1,2
121,121,121,Opps linking the fucc UP overseas and we still mad about angel reese. They got us with the media trap again 😮‍💨,"[7651, 2047, 6408, 6777, 1401]","[3232, 7768, 6804, 9230, 22330]",0,0
122,122,122,Jill Biden Scraps White House Invite for Iowa After Angel Reese Calls it ‘A Joke’ https://t.co/V2xWIdh8PG,"[959, 6730, 2751, 3702, 3976]","[5537, 4876, 731, 15331, 12049]",0,2
123,123,123,"We have an Angel Reese sighting at LSU's victory parade!

Watch the stream here: https://t.co/DURAo0CHGT https://t.co/2B1bOPAVMv","[951, 1494, 3730, 3178, 6190]","[14403, 8423, 12296, 7539, 13749]",1,2
124,124,124,JA Morant is out giving Angel Reese back shots. Kyrie reputation on the line tonight. There is the write up,"[812, 3482, 3802, 5865, 2026]","[1639, 9727, 5613, 14422, 9900]",0,0
125,125,125,Angel Reese… my only criticism of you is those eyelashes…. PLEASE get another lash tech,"[8512, 1570, 5088, 5826, 7821]","[16526, 14951, 11252, 10446, 16506]",1,1
126,126,126,@WayToo6ixy @CNN I'm with you on why Jill was going to invite both teams. She was gonna milk it as a big TitleIX type of accomplishment. Social &amp; Mainstream media turned this into another racial divide issue. No one on court was offended by Angel Reese b4 or after the game,"[4848, 3976, 5865, 2026, 4684]","[17791, 1771, 16059, 3811, 20948]",1,2
129,129,129,Angel Reese when she hears you didn’t put LSU as the winner in your bracket https://t.co/bKFLebYxyF,"[6190, 3922, 2026, 6777, 951]","[7549, 12296, 7539, 1630, 1994]",1,2
131,131,131,"Why can't folks just accept the olive branch and move on. I do not believe the First Lady meant to offend anyone. Seems childish to me.

Angel Reese says LSU will not visit White House after Jill Biden comments https://t.co/pCM8t2R6QZ via @Yahoo","[7927, 6401, 3976, 2852, 6190]","[16817, 4876, 3354, 2718, 10549]",1,2
132,132,132,Salute to angel reese speaking her mind and doubling down,"[754, 661, 5826, 6777, 1748]","[7768, 12049, 8841, 22174, 24004]",1,2
134,134,134,"Corey Holcomb's take on Angel Reese &amp; Caitlin Clark is🔥!😭😭😭😭😭😭
#truth #Truth #TRUTH https://t.co/WBpEXjBxlW","[2178, 2250, 3222, 958, 2235]","[17944, 15644, 17242, 9881, 1935]",1,2
135,135,135,my new girl crush is angel reese 😍,"[951, 170, 6777, 4912, 2751]","[10782, 13092, 13199, 24656, 1317]",1,2
136,136,136,@ogrisktaker00 @KawhiNewEra @Trenster4 @BleacherReport @Reese10Angel Because he doesn’t blindly support his race when they are wrong. Angel Reese is strange and ja is a thug actually.,"[5306, 2527, 5083, 5357, 1517]","[3461, 16324, 3633, 3518, 6245]",0,0
