,Unnamed: 0.1,Unnamed: 0,Text,socialMediaAbuse,twitterHateSpeech,tweets_clark_socialMediaAbuse,tweets_clark_twitterHateSpeech
26,26,26,"@wax_golf @ldub277 @Cale05 You can stuff your sanctimonious protection of girls argument. Girls are just fine! There are only probably 10 current Kansas-born male athletes that could hang with Caitlin Clark for 5 minutes. Be honest. This is about power, control, homo-phobia &amp; warped morality.","[7732, 8415, 4643, 982, 793]","[16622, 19820, 16985, 12668, 14237]",0,0
28,28,28,@YankeeFanJustin @Reese10Angel Caitlin Clark is so beautiful thank you,"[3450, 4224, 3222, 2344, 6777]","[12675, 3646, 19899, 5512, 3328]",1,2
29,29,29,"Corey Holcomb's take on Angel Reese &amp; Caitlin Clark is🔥!😭😭😭😭😭😭
#truth #Truth #TRUTH https://t.co/WBpEXjBxlW","[2178, 2250, 3222, 958, 2235]","[17944, 15644, 17242, 9881, 1935]",1,2
30,30,30,John Cena giving credit where it’s due! @TonyYayo here’s your flowers 💐 #lsuvsiowa #AngelReese #CaitlinClark #hiphopculture rules! https://t.co/cWaUeFQa3I,"[1080, 2691, 5876, 1923, 2928]","[18244, 1821, 1402, 2395, 2762]",1,2
31,31,31,Caitlin Clark &amp; Angel Reese Agree: Iowa Doesn't Deserve Invite To White House https://t.co/rg7fIIAlG0 https://t.co/WmGI7p3bbo,"[3922, 6190, 6647, 2778, 5172]","[731, 6178, 6293, 22419, 16390]",0,1
32,32,32,John Cena giving credit where it’s due! @TonyYayo here’s your flowers 💐 #lsuvsiowa #AngelReese #CaitlinClark #hiphopculture rules! https://t.co/sHOCfaokWI,"[1080, 2691, 5876, 1923, 7289]","[18244, 1821, 2395, 1402, 2762]",1,2
33,33,33,Most popular move of my Era so the creator bashing Caitlin Clark also basketball is a sport where trash talking made kobe drop 50 Jordan win 6 rings lisa Leslie sue bird magic and Larry bird say what now Gary Payton being the best trash talker of all times u can't 👀 me https://t.co/BIAq0fyN2g,"[5865, 5053, 1594, 3542, 4684]","[201, 2564, 23117, 10186, 10768]",1,2
34,34,34,@NobleNegroe How's Caitlin Clark NIL sponsors.??? 😂😂😂,"[5528, 754, 7607, 2665, 197]","[6075, 9881, 17882, 19058, 4681]",0,2
35,35,35,LSU had the better team but Caitlin Clark from lowa is a goddamn SNIPER!!!! …. If convicted she’ll the needle or life without the possibility of parole for shooting like that  #LSULadyTigers  #IowaLadyHawkeyes  #Hawkeyes #NCAAChampionship 🏀,"[2852, 6190, 5528, 2026, 3922]","[8393, 12296, 17778, 7549, 24711]",0,0
36,36,36,"@ChadLeistikow @hawkcentral All these taping cos your anointed Karen, AKA Caitlin Clark, was beaten by gritty Black girls from the ‘hood’. I’m loving your utter crying 😢","[7607, 5485, 958, 992, 5528]","[3292, 16408, 1445, 3472, 1179]",0,0
38,38,38,@CherylMargaretS @KeneAkers Yes. Why do you think this is a point in her favor? The discourse around April Reese and Caitlin Clark is why her statement was racially inflammatory.,"[6596, 6579, 1748, 4716, 4052]","[6650, 16103, 6397, 23594, 4741]",0,0
39,39,39,@oprahcrypto Clark I love u my boy but we got video of Caitlin clark tellling other girls ‘shut the fuck up ur down 15’ and doing the cena in they face too in the tournament,"[7732, 8140, 2691, 5537, 4226]","[16025, 6075, 5137, 3763, 14688]",0,0
40,40,40,"@bansky Whew, talk about fierce confidence! 🔥 Caitlin Clark is a superstar and ain't no one gonna bring her down. Get 'em girl! Click my profile plz","[958, 3222, 4958, 2665, 7607]","[6075, 5137, 2960, 5687, 19058]",1,2
41,41,41,"@TarnowskiStang @CNN @FLOTUS She didn't want to slight America's great white hope, Caitlin Clark https://t.co/cbaw5uBG8a","[5528, 2780, 3976, 6976, 2839]","[5606, 5749, 6650, 3914, 1227]",0,2
42,42,42,@UIAdvancement Caitlin Clark = Larry Bird as far as impact.,"[1475, 7678, 8015, 392, 5528]","[18411, 6678, 6590, 16997, 5617]",1,2
43,43,43,@Reese10Angel You're obsessed with Caitlin Clark,"[3222, 1748, 958, 5528, 2665]","[5511, 12675, 19077, 5340, 4075]",0,2
44,44,44,@Reese10Angel I'm buying Caitlin Clark's Jersey!! 🖤💛 https://t.co/nid8Y8MwlE,"[245, 4362, 4760, 3971, 4601]","[18544, 5730, 3944, 5733, 6932]",1,2
45,45,45,"@pigeonhill25 @LearyTodd Man hardest thing is getting girls not to chuck it up with 2 hands. Luckily my
Daughter doesn’t know about Caitlin Clark yet 😂","[3140, 2974, 4578, 4912, 1213]","[19899, 3765, 6834, 12675, 4133]",1,2
46,46,46,"@LegalMovesOnly @SpeakRyanSpeak @tariqnasheed but sue bird been the goat?? make it make sense. nobody is mad caitlin clark is good at basketball. her team lost by 20 points and still got invited to the white house, and ppl were defending her like that one parent at a hs wrestling meet when they saw reese showing her up.","[5865, 5528, 392, 1823, 7607]","[3958, 5617, 7276, 6061, 4668]",0,2
47,47,47,"@satou_sabally Ppl can’t force the #WNBA to expand out of thin air when they didn’t care about the league or WBB until “Caitlin Clark &amp; Angel Reese.” Blame AMERICA. Both genders ignored the @WNBA , and now want to complain! Smh","[4626, 4643, 5529, 5865, 8203]","[20153, 758, 3958, 15088, 4646]",0,2
48,48,48,@TheAthletic This girl has some attitude. First she was making fun of Caitlin Clark and now this. Really? Grow up girl.,"[2665, 2721, 4958, 7273, 2455]","[6068, 2960, 3765, 6075, 5137]",0,1
50,50,50,Angel Reese and Caitlin Clark can honestly change women’s basketball,"[4643, 5865, 2026, 1748, 4626]","[20153, 2484, 13199, 24593, 1844]",1,2
51,51,51,"The hypocrisy...Caitlin Clark's feisty, aggressive, &amp; knows how to“You can’t see me” gesture. Yet, there's no uproar, no story, not even a social media convo when she did it. 

If Angel Reese Wasn’t a Black Woman, America Wouldn’t Be So Angry

https://t.co/AJwjesFzw3","[4626, 1602, 7607, 8203, 1748]","[13644, 5800, 2129, 22060, 8109]",1,0
52,52,52,"@lacadri34 I get what you’re saying but I think people are unfairly beating up on Angel Reese. We all golf-clapped when Caitlin Clark stepped up by saying Angel had done nothing wrong and rejecting Dr Biden’s invite.

But it was Dr Jill who dropped the ball, not Angel. Angel and her team…","[951, 6076, 7651, 1168, 8475]","[7768, 14125, 15709, 2899, 18027]",1,2
54,54,54,@ChefDVO @BleacherReport @Reese10Angel POY Caitlin Clark 🤣,"[2026, 3179, 5528, 6777, 958]","[5669, 12675, 19899, 2825, 7141]",0,2
55,55,55,"I wonder if @TonyYayo streams went up after #AngelReese and #CaitlinClark did the you can't see me. @50cent will needs his money by Monday 😆!!!! 

#soseductive
#LSULadyTigers
#LSUChampions
https://t.co/2gtEvuea2Q","[7377, 3922, 2836, 1939, 6190]","[8393, 12296, 14892, 15025, 23569]",1,2
56,56,56,I wouldn’t mind a Caitlin Clark and Aneessah Morrow duo,"[2026, 6234, 5485, 5658, 2795]","[3784, 3059, 9881, 22320, 24414]",1,2
57,57,57,Are Angel Reese &amp; Caitlin Clark the Next Magic &amp; Bird? https://t.co/pSmEQXXICh,"[5826, 1748, 2256, 3256, 6777]","[24414, 9922, 22175, 12703, 5109]",1,2
58,58,58,Caitlin Clark Clears the Air on Angel Reese Controversy https://t.co/SeXx99eMzZ via @YouTube,"[3222, 2568, 4716, 2026, 6234]","[272, 14903, 2129, 24721, 14537]",0,2
59,59,59,Opinion: The Importance Of LSU Star Angel Reese’s Shameless Trash Talking .....Please follow to support..... https://t.co/xbWQxKZaRq #angelreese #CaitlynClarkHawkeyes #LouisianaStateUniversity #CaitlinClark,"[5527, 754, 6190, 2778, 2852]","[17778, 12296, 8393, 3354, 3684]",1,2
60,60,60,It would be a pleasure to meet Caitlin Clark but also to make her my wife.,"[958, 4226, 4958, 1584, 280]","[9881, 11384, 5993, 12675, 14470]",0,0
62,62,62,"Bulls' Patrick Beverley dishes on Angel Reese, Caitlin Clark trash talk: 'A hooper is a hooper' - Fox News https://t.co/kpjTEaGf30","[6337, 8063, 6246, 812, 2396]","[21245, 9131, 9726, 2073, 21539]",1,2
63,63,63,"@ChipsBurner2009 Typical or not, if this doesn't persuade you that Caitlin Clark is not blameless, then nothing will. https://t.co/cWVnMLTbDP","[4437, 6914, 4748, 6620, 5246]","[5749, 6068, 5137, 2667, 16485]",0,2
64,64,64,@TennisChannel @paulabadosa @Madison_Keys @JLPegula The Caitlin Clark Effect 🤩,"[5528, 417, 3561, 2974, 2026]","[5699, 7141, 5669, 6470, 12675]",1,2
65,65,65,"This weeks Next Level @BulwarkOnline pod:
- My bull view on the political fallout to the Trump indictment
- On Wisconsin (and Chicago) 
- Lots on Caitlin Clark, your national champion LSU Fightin' Tigers &amp; the whole women's hoop trash talk discourse 
https://t.co/blMWzfsNyX","[2780, 3232, 308, 3462, 6333]","[17188, 2719, 15088, 3354, 16422]",1,2
66,66,66,"Oh, joy to be alive in 2023... @debbieantonelli my birthday wishes I want in October:
A. A angel Reese jersey 
B. A Caitlin Clark jersey 
C. A Monika Czinano jersey 
D. A Elizabeth Kitley jersey 
&amp; E. A Aaliyah Boston jersey 
That's the reason I love ❤️ women's Basketball 🏀!","[5865, 2979, 754, 7793, 1463]","[4140, 15107, 1844, 1696, 4111]",1,2
67,67,67,"#podcast #angelreese #caitlinclark #daveportnoy 
https://t.co/cwhCRYwTy6","[1652, 2247, 911, 3253, 1485]","[4468, 14167, 6257, 4937, 756]",0,2
68,68,68,@KenHeLive Nobody knows who this girl is if it wasn’t for Caitlin Clark. She thinks it’s about her 😂,"[5528, 2974, 958, 4958, 2568]","[3763, 6075, 19899, 5137, 5511]",0,2
69,69,69,"“What is Des Moines?”

Somewhere that Caitlin Clark probably can get a lot of meals comped.
#Jeopardy","[5528, 6941, 6647, 4716, 1054]","[9881, 21539, 13977, 14737, 15575]",1,2
70,70,70,@rm237479 @GHurricane @KevinThobias @CNN I didn’t. I’m not really a fan of women basketball but Caitlin Clark may be the best female to ever play the game. All eyes were on her,"[5528, 2026, 5865, 4626, 2568]","[3106, 5461, 19899, 7141, 6617]",1,2
72,72,72,"Anybody else feeling like this when it comes to the whole Angel Reese, Caitlin Clark thing...or is it just me??? https://t.co/sUTfqfNVFQ","[3222, 8479, 951, 7069, 2568]","[13605, 21634, 11985, 22668, 13199]",0,2
73,73,73,"We are LIVE on YouTube! @CoryPuffett hosts Episode 235 as we discuss Angel Reese, Caitlin Clark, LSU/Iowa, and DeMatha's own Jordan Hawkins, the first Stag since Quinn Cook to win the national championship. Join us live right now! https://t.co/qwM3yOS7T2","[2504, 7243, 7119, 5528, 1422]","[3490, 9348, 11815, 8024, 14892]",1,2
74,74,74,"@espn @OTLonESPN I admire Caitlin Clark ! Despite Iowa's loss, she's carrying herself  so properly.","[5528, 6234, 958, 2026, 6647]","[18399, 5511, 6075, 4752, 4133]",1,2
75,75,75,"@noahvhagen @TheNBACentral @IAMATHLETEpod calling a black woman a 'bitch' because she is calling out why the runner-ups are being invited when only the winners should be, even your precious Caitlin Clark called this out, but I be you will not be calling a white woman a 'bitch', racist white male.","[2455, 6976, 1923, 2665, 7607]","[19057, 15088, 5107, 19211, 19899]",0,0
76,76,76,"@qshironalbertie @Reese10Angel @randomasamf Caitlin Clark had a great individual season. But she chose to play a team sport, and, in team sports, we celebrate team achievements. The LSU Tigers won as a team and deserve to be celebrated at the WH.","[2638, 627, 5528, 392, 4052]","[12296, 17778, 16138, 12668, 17995]",1,2
77,77,77,"@AndyGrewal I'm convinced that Reese not being classy is a calculated NIL move. She likely has way more market value as the villain in the Caitlin Clark story, than just being her own thing.","[5826, 6777, 1748, 6234, 318]","[4118, 23430, 11183, 7894, 13644]",0,2
78,78,78,@SInow Wait till she sees how much nil money Caitlin Clark gets next year,"[4321, 5528, 2026, 7607, 4958]","[5137, 9881, 6075, 20993, 17550]",1,2
79,79,79,"Mark Madden: A women’s basketball Final Four that started out sizzling thanks to the emergence of and fanfare for Iowa’s Caitlin Clark will be remembered for taunting and the resulting fallout.

https://t.co/0NiRB2Zm6a","[2638, 7607, 7838, 5528, 1057]","[17995, 14832, 12543, 20145, 18399]",0,0
81,81,81,"@SInow Yo chick: if it weren’t for Caitlin Clark, the First Lady wouldn’t be talking about women’s hoops, and nobody would know who the fuck you are. Go away.","[8203, 5528, 1902, 4958, 2959]","[5137, 7361, 1472, 4144, 153]",0,0
82,82,82,@CaitlinClark22 My pick is Caitlin Clark,"[5528, 958, 6234, 2026, 3222]","[19899, 3136, 12675, 7046, 3863]",1,2
83,83,83,@KawhiNewEra @BleacherReport @Reese10Angel Why tf should Angel ? I guess you could make a case (a bad one) for Ja but Angel ? For bullying Caitlin Clark ?,"[7651, 4437, 1603, 2665, 392]","[7768, 14162, 6068, 6042, 15251]",0,0
84,84,84,"New custom card of the Iowa Hawkeyes superstar Caitlin Clark 💥

$10 +$4.95 BMWT via PayPal. DM to order 👍 https://t.co/wpOjsaaL1S","[4601, 245, 5967, 6647, 6668]","[4136, 5768, 7402, 16481, 5733]",1,2
85,85,85,@Reese10Angel I will order a Caitlin Clark one,"[245, 4224, 4362, 2897, 1438]","[5733, 5730, 5542, 18171, 5993]",1,2
86,86,86,White people and the black c**ns just continue to ignore the fact that Caitlin Clark was talking shit ALL TOURNAMENT LONG!!!!,"[2568, 6976, 7607, 4052, 5492]","[3292, 14415, 6397, 1445, 8018]",0,0
87,87,87,@NotPayingThe5 U hate every woman besides Caitlin Clark,"[4912, 6234, 2878, 7607, 5528]","[4133, 6075, 4463, 4843, 5137]",0,0
88,88,88,@dontbrued @Reese10Angel Mainly because of caitlin clark by the way,"[2026, 2665, 2974, 6777, 5528]","[19899, 12675, 5511, 3136, 3787]",1,2
89,89,89,Caitlin Clark Speaks On Angel Reese Criticism &amp; White House Invitation: “We’re All Competitive” https://t.co/QhhoHnmqZC,"[3311, 754, 1014, 2127, 959]","[20533, 14537, 432, 17037, 8433]",0,2
90,90,90,Y’all are not triggering me by posting about Iowa losing. Trust me nobody wanted LSU to send Caitlin Clark home sad more than me,"[6190, 2852, 3922, 7573, 781]","[7549, 8393, 12296, 11817, 5305]",1,2
91,91,91,People only tuned in to the NCAAA championship game to watch Caitlin Clark play. She’s the reason people know Angel Reese’s name.,"[6234, 2026, 5528, 2751, 2568]","[7701, 24414, 14832, 22444, 7768]",1,2
92,92,92,@_ChasinChecks Im sorry bro i cant show u things that never happened. Caitlin Clark trash talked in a completly different game. And it wasnt directed at an opponent.. watch all of angels teammates run past her as she circles caitln and taunts Btw i have no issue wth it its what makes sport fun.,"[1057, 7558, 2568, 7607, 5537]","[5226, 16310, 6075, 15193, 2101]",0,2
93,93,93,"@Jaxon9277 @Reese10Angel Angel Reese beat Caitlin Clark back when she was in Maryland. Im pretty sure it's vice versa, but both still great players 👍🏾","[6777, 2026, 5826, 966, 5528]","[6075, 13564, 2629, 19899, 2899]",1,2
94,94,94,@SInow This is why her trash talking was stupid the entire time. This is what the talking heads didn't want t grasp. She was totally calculated in her efforts to try to get a little fame. The original Cena hand from Caitlin Clark wasn't done for attention.,"[6397, 2665, 5017, 6929, 8124]","[22107, 22771, 16075, 5137, 13751]",0,2
95,95,95,"@JScott85 @cochise269 @TheNBACentral @IAMATHLETEpod Because of how far the game of women’s basketball has grown in this past tournament, a lot of it due to Caitlin Clarks play throughout.","[5528, 5865, 2026, 2118, 4163]","[12668, 3106, 14237, 7141, 19899]",1,2
96,96,96,"Caitlin Clark has brought a lot more attention &amp; TV ratings to women’s college basketball. That’s good. lots of great hoops players, programs @UConnWBB @GamecockWBB @LSUwbkb @IowaWBB   @OhioStateWBB ….","[2026, 5528, 6234, 392, 4263]","[12668, 6499, 18399, 4133, 18635]",1,2
97,97,97,"@MountyNc Again, Angel Reese was vilified. Caitlin Clark came to her defense in the aftermath because its was about BASKETBALL. Folks like you made it about race, and continue to let that guide your hate. Youre just blind to it. Really sad","[6234, 1973, 5865, 7607, 6777]","[6972, 1445, 4074, 5444, 15088]",1,0
98,98,98,"@BarstoolUIowa Caitlin Clark- intelligent
Fallen Angel- not so much","[958, 4189, 2527, 2676, 3844]","[19058, 19899, 5993, 6640, 17476]",0,1
99,99,99,"Why dont we invite all the NCAAW Teams, they all played well, practiced hard. Let's bring all the teams to the White House. Next year, let's not even keep score, ""We Are All Winners"" Si se Puuadrea""...#JillBiden  #AngelReese #LSULadyTigers #LSUChampions #Iowa #CaitlinClark","[3922, 6190, 2852, 8193, 7804]","[12296, 8393, 842, 24711, 9671]",1,2
100,100,100,"Caitlin Clark, who made the same 'You can't see me' gesture, said that LSU's Angel Reese shouldn't be criticized at all, adding that trash talking is a part of basketball.  https://t.co/ZThX8mueAQ","[5527, 5865, 332, 6685, 4684]","[17778, 14422, 15540, 20482, 16310]",1,2
101,101,101,"Or she could’ve been knocked out the first round and no record in the first place. This has hater all over it, Caitlin Clark moving the game forward and she’s stuck on the past.","[4498, 4437, 7165, 5333, 5528]","[10748, 22771, 9122, 20993, 20585]",0,0
102,102,102,@BleacherReport @OTLonESPN I wonder how #AngelReese and the LSU Lady Tigers feel about this statement ? #CaitlinClark is definitely a generational talent. #BrittneyGriner was too Kim! https://t.co/1mdysVduPo,"[6777, 6914, 1748, 186, 2026]","[14055, 20697, 2860, 15004, 660]",1,2
103,103,103,Caitlin Clark turning out to have as much media savvy as spot-up shooting ability is pretty dope,"[2026, 5269, 2871, 3222, 2427]","[13612, 12052, 2129, 12053, 22413]",1,2
104,104,104,@legalsmarts @Clear_Destiny_ @MarchMadnessWBB @Reese10Angel @CaitlinClark22 @ballislifewbb_ @espn @LSUwbkb @IowaWBB It was blacks on Twitter and Reese that started the racial issues. Blacks acted like Caitlin's hand gesture was the same as Reese's and claimed a racist double standard. Reese acted like Clark had disrespected black girls by not bothering to guard against SC players and Alexis.,"[4052, 3036, 6976, 6777, 4626]","[6397, 3292, 2720, 15088, 1445]",0,0
105,105,105,#CaitlinClark  Congratulations! @CaitlinClark22 https://t.co/pvOCQrLszA,"[754, 5528, 4224, 2344, 1923]","[19899, 4276, 9652, 1962, 5730]",1,2
106,106,106,"@LisaJo1967frj @Reese10Angel I’m just telling you that Caitlin Clark is very important to women’s basketball. LOL. 

Kobe Bryant type shit.","[5528, 7607, 392, 5865, 4163]","[1844, 19899, 13564, 19077, 7425]",1,2
107,107,107,"@CNN FLOTUS Biden put her proverbial foot in the mouth, when she suggested inviting Iowa to the WH with LSU.

Even Caitlin Clark agreed with Angel Reese, that it's a singular honor reserved for the NCAA women's champion.

LSU still feels diminished by the slight, &amp; have refused to go!","[2852, 3922, 6190, 6647, 7804]","[12296, 8393, 842, 7549, 17778]",0,2
109,109,109,"@OnePrideJosh @LeisaEStephens1 @Reese10Angel So to recap, you have no idea what her GPA is or why she’s ineligible for the Wooden Award, but you look at her, the lashes, the nails, the melanin, and not surprisingly, you assume that she’s not smart &amp; are totally willing to blatantly lie because you support Caitlin Clark.","[7607, 5528, 4030, 7366, 542]","[15602, 14108, 20841, 19704, 19935]",0,0
110,110,110,Caitlin Clark almost averaged 28 per in college.. that's fucking insane,"[5528, 542, 8015, 7607, 222]","[22004, 18266, 19614, 11049, 9881]",1,2
111,111,111,"@krassenstein I have to wonder what real women (not sissy’s that couldn’t be a real man) feel about Dylan Mulvaney being hired by Nike modeling its sports bras &amp; of course spokesFREAK for #BudLight 

Transgender boys will be taking your NCAA scholarships soon

#NCAAW #CaitlinClark #AngelReese","[4643, 8203, 5876, 6828, 1902]","[15509, 7019, 1183, 1453, 15432]",0,0
112,112,112,thinking about 12 yr old caitlin clark smoking niggas so bad in a middle school tourney the parents started telling refs girls shouldn’t play w boys 😂😂😂,"[5003, 7273, 2608, 8008, 227]","[10440, 20726, 21290, 12446, 5226]",0,0
113,113,113,ESPN celebrates Caitlin Clark’s trash talking before championship game and then criticizes Angel Reese after LSU won. Talk about irony and hypocrisy #LSU #lsuvsiowa #espn https://t.co/id8qSbgADz,"[6132, 7607, 3462, 6611, 2638]","[16310, 17778, 3354, 8393, 13206]",0,1
114,114,114,"@CNN I thought what Angel Reese did was classless and demonic. Caitlin Clark is a sweet, Christian, virgin angel. I didn’t watch the game but I just know Angel Reese is a villain","[3730, 951, 7069, 4263, 6234]","[7768, 13605, 20603, 9642, 24721]",0,0
115,115,115,"@nickC0711 @NBCSports @SNFonNBC I love Caitlin Clark,  but Emmitt is still the top dog.","[2026, 8015, 6234, 5528, 2146]","[3932, 2414, 4133, 2849, 2392]",1,2
116,116,116,"In a show of support, Caitlin Clark defends Angel Reese’s taunting during the NCAA women’s basketball championship game, saying “she should never be criticized.” 

#SupportWomenInSports #NCAAChampionship 

https://t.co/WifuQSBV0K","[7607, 6234, 8203, 4643, 2455]","[15088, 21526, 17037, 17269, 23748]",1,2
117,117,117,@TMZ How bout that Caitlin Clark 😏 https://t.co/oGenARkDWZ,"[5528, 958, 2608, 8462, 4601]","[6075, 19899, 6663, 2855, 5993]",1,2
121,121,121,Caitlin Clark Makes Her Thoughts On Jill Biden's White House Suggestion Very Clear #NewsBreak🤣🤣🤡 https://t.co/CKKeyivz0x,"[3976, 4716, 3628, 959, 4030]","[4876, 18679, 20704, 7940, 3671]",0,1
122,122,122,@Patsbr17 tu viu a polêmica dela com a caitlin clark na final? dps do título ela perdeu a noção de como agir kkkkkkkkkkkkkkkk,"[4389, 2888, 3297, 778, 1951]","[16028, 1066, 5916, 2731, 13372]",0,2
123,123,123,@DLoesch Caitlin Clark or Angela Reese were bbot available.,"[2026, 6777, 958, 8462, 2974]","[5993, 12675, 19899, 4976, 11384]",0,2
124,124,124,@TheNBACentral caitlin clark made her famous,"[5528, 7607, 958, 8086, 2665]","[5137, 5340, 15470, 514, 2855]",1,2
125,125,125,"An excellent, historically-informed read of the Angel Reese/Caitlin Clark controversy by @GregKaliss. TLDR: it's stupid, &amp; fits the old pattern of finding white trash talk charming and black talk classless. 

(I also bet Biden is playing for Iowa voters.)

https://t.co/Ei9pDm0B84","[3311, 3232, 2780, 3036, 308]","[3671, 731, 6997, 2719, 6520]",0,0
